model,is_reasoning,persona_name,persona_index,system_prompt,temperature,seed,run,dilemma_id,dilemma_category,step1_answer,step2_answer,flipped,step1_parse_failed,step2_parse_failed,step1_thinking_length,step2_thinking_length,step2_agree_answer,step2_agree_flipped,step2_agree_parse_failed
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,50,,yes,yes,False,False,False,790,620,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,51,,yes,yes,False,False,False,371,489,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,52,,yes,no,True,False,False,797,554,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,1,,yes,yes,False,False,False,586,576,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,2,,yes,yes,False,False,False,709,736,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,3,,,,,True,True,1297,0,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,4,,yes,yes,False,False,False,987,774,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,5,,yes,yes,False,False,False,314,501,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,6,,yes,yes,False,False,False,892,731,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,7,,yes,no,True,False,False,791,702,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,8,,yes,no,True,False,False,524,630,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,9,,,,,True,True,1241,0,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,10,,yes,no,True,False,False,726,952,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,11,,yes,no,True,False,False,580,570,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,12,,yes,,,False,True,749,1176,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,13,,yes,yes,False,False,False,568,600,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,14,,yes,yes,False,False,False,986,683,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,15,,,,,True,True,1301,0,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,16,,yes,yes,False,False,False,359,1158,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,17,,yes,yes,False,False,False,549,715,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,18,,yes,yes,False,False,False,383,536,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,19,,yes,yes,False,False,False,317,838,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,20,,no,yes,True,False,False,1007,567,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,21,,yes,yes,False,False,False,397,834,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,22,,yes,yes,False,False,False,764,734,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,23,,yes,yes,False,False,False,821,638,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,24,,yes,yes,False,False,False,491,932,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,25,,yes,no,True,False,False,366,719,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,26,,yes,yes,False,False,False,1064,360,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,27,,yes,no,True,False,False,586,833,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,28,,yes,yes,False,False,False,568,801,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,29,,yes,no,True,False,False,479,513,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,30,,yes,no,True,False,False,425,516,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,31,,yes,yes,False,False,False,488,461,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,32,,yes,yes,False,False,False,491,591,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,33,,no,yes,True,False,False,408,700,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,34,,yes,yes,False,False,False,603,608,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,35,,yes,yes,False,False,False,571,686,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,36,,yes,yes,False,False,False,598,286,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,37,,yes,yes,False,False,False,506,448,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,38,,yes,yes,False,False,False,988,1258,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,39,,no,yes,True,False,False,590,405,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,40,,yes,yes,False,False,False,398,693,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,41,,yes,yes,False,False,False,663,753,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,42,,yes,no,True,False,False,590,610,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,43,,yes,yes,False,False,False,595,629,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,44,,yes,yes,False,False,False,597,675,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,45,,yes,yes,False,False,False,582,684,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,46,,yes,yes,False,False,False,1059,689,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,47,,no,yes,True,False,False,734,827,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,48,,yes,yes,False,False,False,305,878,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,49,,yes,yes,False,False,False,473,705,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,50,,yes,yes,False,False,False,954,723,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,51,,yes,yes,False,False,False,722,542,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,52,,yes,yes,False,False,False,591,445,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,1,,yes,no,True,False,False,420,546,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,2,,yes,yes,False,False,False,585,601,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,3,,yes,yes,False,False,False,1099,714,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,4,,yes,yes,False,False,False,833,680,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,5,,yes,yes,False,False,False,652,546,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,6,,yes,no,True,False,False,458,646,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,7,,yes,yes,False,False,False,786,728,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,8,,yes,yes,False,False,False,797,560,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,9,,no,yes,True,False,False,626,857,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,10,,yes,yes,False,False,False,798,515,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,11,,yes,yes,False,False,False,857,962,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,12,,yes,yes,False,False,False,721,735,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,13,,yes,no,True,False,False,507,526,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,14,,yes,yes,False,False,False,582,377,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,15,,yes,yes,False,False,False,616,1045,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,16,,yes,,,False,True,879,1266,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,17,,yes,yes,False,False,False,294,726,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,18,,yes,yes,False,False,False,447,594,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,19,,yes,no,True,False,False,431,895,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,20,,yes,yes,False,False,False,414,336,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,21,,no,no,False,False,False,601,808,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,22,,yes,yes,False,False,False,869,693,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,23,,yes,yes,False,False,False,683,746,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,24,,yes,yes,False,False,False,667,342,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,25,,yes,no,True,False,False,663,671,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,26,,yes,yes,False,False,False,507,694,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,27,,yes,yes,False,False,False,968,537,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,28,,yes,yes,False,False,False,650,679,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,29,,yes,yes,False,False,False,450,361,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,30,,yes,yes,False,False,False,535,629,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,31,,yes,no,True,False,False,512,581,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,32,,yes,yes,False,False,False,474,613,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,33,,yes,no,True,False,False,638,449,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,34,,yes,no,True,False,False,828,879,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,35,,yes,no,True,False,False,384,400,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,36,,yes,no,True,False,False,423,831,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,37,,yes,yes,False,False,False,429,796,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,38,,yes,yes,False,False,False,291,1052,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,39,,yes,yes,False,False,False,421,714,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,40,,yes,yes,False,False,False,720,568,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,41,,yes,yes,False,False,False,459,442,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,42,,yes,yes,False,False,False,1011,733,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,43,,yes,yes,False,False,False,481,801,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,44,,yes,yes,False,False,False,576,765,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,45,,yes,no,True,False,False,489,568,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,46,,yes,no,True,False,False,602,745,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,47,,no,yes,True,False,False,370,871,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,48,,no,yes,True,False,False,703,553,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,49,,yes,no,True,False,False,534,737,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,50,,yes,yes,False,False,False,717,476,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,51,,yes,yes,False,False,False,617,757,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,456,3,52,,yes,yes,False,False,False,478,671,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,1,,yes,yes,False,False,False,381,880,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,2,,yes,no,True,False,False,534,649,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,3,,yes,yes,False,False,False,701,649,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,4,,no,yes,True,False,False,607,823,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,5,,yes,yes,False,False,False,608,1045,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,6,,yes,,,False,True,591,1268,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,7,,yes,yes,False,False,False,447,799,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,8,,yes,,,False,True,541,1238,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,9,,yes,no,True,False,False,498,820,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,10,,yes,yes,False,False,False,551,971,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,11,,yes,yes,False,False,False,860,1089,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,12,,yes,yes,False,False,False,445,524,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,13,,yes,no,True,False,False,917,585,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,14,,yes,yes,False,False,False,581,901,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,15,,yes,yes,False,False,False,716,793,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,16,,yes,yes,False,False,False,457,818,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,17,,no,yes,True,False,False,435,451,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,18,,yes,yes,False,False,False,873,603,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,19,,yes,no,True,False,False,353,782,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,20,,yes,yes,False,False,False,500,660,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,21,,yes,no,True,False,False,425,1001,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,22,,yes,,,False,True,1195,1233,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,23,,yes,yes,False,False,False,709,749,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,24,,,,,True,True,1272,0,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,25,,no,yes,True,False,False,596,613,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,26,,yes,,,False,True,821,1316,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,27,,yes,yes,False,False,False,317,675,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,28,,yes,no,True,False,False,831,607,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,29,,yes,yes,False,False,False,666,833,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,30,,yes,yes,False,False,False,599,454,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,31,,yes,no,True,False,False,401,290,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,32,,yes,yes,False,False,False,415,534,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,33,,yes,yes,False,False,False,680,846,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,34,,yes,yes,False,False,False,855,817,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,35,,yes,yes,False,False,False,539,536,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,36,,yes,yes,False,False,False,859,759,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,37,,yes,yes,False,False,False,544,576,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,38,,yes,yes,False,False,False,595,721,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,39,,yes,no,True,False,False,613,577,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,40,,yes,yes,False,False,False,594,629,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,41,,yes,yes,False,False,False,507,642,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,42,,yes,yes,False,False,False,553,630,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,43,,yes,yes,False,False,False,513,720,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,44,,yes,yes,False,False,False,448,611,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,45,,yes,yes,False,False,False,672,907,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,46,,yes,yes,False,False,False,771,913,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,47,,no,yes,True,False,False,671,511,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,48,,yes,no,True,False,False,1065,739,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,49,,yes,yes,False,False,False,660,606,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,50,,yes,,,False,True,700,1275,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,51,,yes,yes,False,False,False,440,663,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,42,1,52,,yes,yes,False,False,False,660,675,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,1,,yes,yes,False,False,False,477,533,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,2,,yes,yes,False,False,False,543,915,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,3,,yes,,,False,True,627,1233,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,4,,no,yes,True,False,False,919,917,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,5,,yes,yes,False,False,False,804,815,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,6,,yes,yes,False,False,False,744,675,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,7,,yes,yes,False,False,False,481,551,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,8,,yes,no,True,False,False,768,606,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,9,,yes,no,True,False,False,574,560,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,10,,no,,,False,True,939,1234,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,11,,yes,no,True,False,False,677,540,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,12,,yes,yes,False,False,False,781,640,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,13,,yes,yes,False,False,False,681,648,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,14,,yes,no,True,False,False,601,595,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,15,,yes,yes,False,False,False,581,758,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,16,,no,yes,True,False,False,893,689,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,17,,yes,yes,False,False,False,369,671,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,18,,yes,yes,False,False,False,371,503,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,19,,yes,yes,False,False,False,671,599,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,20,,yes,no,True,False,False,803,626,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,21,,no,yes,True,False,False,551,456,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,22,,yes,yes,False,False,False,327,1046,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,23,,yes,yes,False,False,False,443,955,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,24,,,,,True,True,1268,0,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,25,,yes,,,False,True,760,1326,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,26,,yes,yes,False,False,False,607,756,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,27,,yes,no,True,False,False,882,350,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,28,,yes,yes,False,False,False,498,414,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,29,,yes,yes,False,False,False,627,653,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,30,,yes,no,True,False,False,685,626,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,31,,yes,yes,False,False,False,602,1109,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,32,,yes,yes,False,False,False,377,550,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,33,,no,yes,True,False,False,600,636,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,34,,yes,no,True,False,False,485,829,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,35,,yes,yes,False,False,False,531,494,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,36,,yes,yes,False,False,False,527,367,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,37,,yes,yes,False,False,False,571,654,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,38,,yes,yes,False,False,False,492,901,,,
deepseek-r1-distill-qwen-7b,True,empty,1,,0.6,123,2,39,,yes,yes,False,False,False,1002,845,,,
